Año 	Mes       	Fuente 	1   	2   	3   	4   	5   	6   	7   	8   	9   	10  	11  	12  	13  	14  	15  	16  	17  	18  	19  	20  	21  	22  	23  	24  	25  	26  	27  	28  	29  	30  	31  	Total
    	mayo      	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.8 	8.0 	2.8 	2.9 	0.0 	0.0 	0.0 	0.0 	2.6 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	21.3 
    	junio     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4.5 	5.8 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	    	10.3 
    	julio     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0  
    	agosto    	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.5 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	7.5 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.7 	0.0 	0.0 	0.0 	10.7 
    	septiembre	SENAMHI	0.0 	0.0 	0.0 	0.0 	9.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	7.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	10.0	0.0 	7.8 	0.0 	0.0 	    	33.8 
    	octubre   	SENAMHI	0.0 	0.0 	1.8 	8.9 	11.0	10.0	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.8 	3.1 	6.7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.5 	4.8 	10.0	60.6 
    	noviembre 	SENAMHI	5.9 	7.9 	2.9 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.0 	4.5 	11.5	6.5 	3.7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.7 	10.0	20.0	3.8 	0.0 	    	81.4 
    	diciembre 	SENAMHI	1.9 	1.7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.0 	1.9 	1.9 	8.5 	10.0	8.2 	25.5	2.8 	0.0 	14.6	14.0	0.0 	19.0	4.5 	26.8	17.6	8.5 	0.0 	0.0 	0.0 	0.0 	1.9 	3.0 	175.3
1989	enero     	SENAMHI	10.8	6.5 	8.2 	7.5 	6.5 	0.0 	0.0 	0.0 	0.0 	2.3 	10.0	12.0	10.8	18.2	15.0	14.0	11.3	9.8 	7.8 	8.5 	7.8 	4.6 	15.0	3.0 	4.5 	0.0 	0.0 	0.0 	1.8 	0.9 	0.0 	196.8
    	febrero   	SENAMHI	2.0 	3.0 	21.0	2.0 	5.0 	5.0 	0.0 	0.0 	10.8	9.7 	6.4 	0.0 	2.1 	10.0	7.1 	10.1	9.9 	5.1 	2.8 	2.5 	11.8	1.5 	3.8 	11.2	26.1	0.0 	3.0 	4.8 	    	    	    	176.7
