Año 	Mes       	Fuente 	1   	2   	3   	4   	5   	6   	7   	8   	9   	10  	11  	12  	13  	14  	15  	16  	17  	18  	19  	20  	21  	22  	23  	24  	25  	26  	27  	28  	29  	30  	31  	Total
    	marzo     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0  
    	abril     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	1.4 	0.0 	0.0 	    	1.8  
    	mayo      	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4.1 	5.4 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	6.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	9.2 	3.1 	27.9 
    	junio     	SENAMHI	0.0 	4.1 	0.0 	0.0 	0.0 	12.1	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	8.3 	0.0 	9.2 	0.0 	0.0 	19.0	0.0 	0.0 	0.0 	9.7 	0.0 	12.2	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	    	74.6 
    	julio     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4.1 	0.0 	0.0 	0.0 	0.0 	6.1 	0.0 	0.0 	3.2 	0.0 	0.0 	0.0 	4.6 	0.0 	0.0 	11.9	0.0 	0.0 	29.9 
    	agosto    	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	8.8 	0.0 	0.0 	0.0 	0.0 	14.2	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	9.1 	0.0 	0.0 	0.0 	0.0 	8.2 	0.0 	0.0 	0.0 	0.0 	0.0 	40.3 
    	septiembre	SENAMHI	0.0 	0.0 	8.6 	0.0 	0.0 	0.0 	12.4	0.0 	0.0 	11.2	0.0 	0.0 	0.0 	0.0 	4.2 	12.0	13.5	0.0 	0.0 	0.0 	2.3 	0.0 	4.2 	8.2 	0.0 	4.4 	0.0 	5.2 	9.9 	5.1 	    	101.2
    	octubre   	SENAMHI	2.2 	14.0	0.0 	0.2 	18.2	13.6	12.2	0.0 	10.2	8.7 	10.1	0.0 	22.2	16.3	0.0 	8.8 	0.0 	30.5	18.2	23.1	0.0 	0.3 	15.9	10.1	13.5	0.0 	7.1 	0.0 	0.0 	8.8 	0.4 	264.6
    	noviembre 	SENAMHI	14.6	0.4 	26.4	0.0 	14.9	0.0 	25.4	0.0 	0.0 	10.4	19.7	6.0 	0.0 	12.6	12.2	23.1	0.0 	21.2	4.5 	10.8	20.8	0.0 	6.2 	0.0 	8.1 	3.2 	0.0 	19.0	9.2 	0.0 	    	268.7
    	diciembre 	SENAMHI	3.9 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	9.1 	10.5	15.4	18.8	0.4 	0.0 	0.0 	19.5	22.2	19.8	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.3 	5.3 	0.0 	8.8 	15.1	4.2 	153.5
1967	enero     	SENAMHI	0.0 	0.0 	0.2 	8.2 	0.0 	14.6	12.2	7.8 	15.0	0.3 	0.0 	15.5	0.4 	0.0 	0.0 	7.7 	18.1	12.2	16.0	10.5	0.3 	0.0 	8.8 	5.2 	6.3 	19.2	0.0 	0.4 	6.3 	13.4	16.2	214.8
    	febrero   	SENAMHI	18.2	15.9	11.0	0.0 	24.1	16.4	0.0 	25.6	4.5 	0.3 	21.0	6.5 	10.5	16.3	9.4 	6.5 	12.6	6.6 	4.2 	0.0 	0.4 	9.7 	19.8	8.5 	9.7 	12.5	0.0 	15.2	    	    	    	285.4
    	marzo     	SENAMHI	15.0	13.1	18.2	9.8 	0.0 	3.3 	22.2	20.5	19.4	0.0 	0.0 	29.8	16.1	9.5 	3.1 	15.0	21.4	0.5 	11.9	24.6	0.0 	6.0 	9.2 	18.8	0.0 	9.8 	6.2 	0.5 	0.0 	0.4 	3.3 	307.6
    	abril     	SENAMHI	8.0 	4.2 	4.1 	0.4 	0.0 	0.0 	0.2 	0.3 	0.0 	0.0 	0.0 	0.5 	2.4 	5.3 	0.0 	0.4 	2.6 	0.0 	0.0 	5.6 	0.0 	0.0 	0.0 	0.3 	0.5 	0.0 	0.0 	0.0 	0.0 	0.0 	    	34.8 
    	mayo      	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4.2 	0.0 	0.0 	0.0 	0.5 	0.0 	0.0 	0.0 	8.2 	0.0 	0.0 	0.0 	5.7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4.2 	8.4 	31.2 
    	junio     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.3 	0.0 	0.0 	10.0	0.0 	0.2 	0.0 	7.0 	0.0 	0.0 	0.0 	0.0 	6.1 	6.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	    	29.8 
    	julio     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.1 	4.0 	0.0 	0.0 	0.0 	0.0 	8.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.5 	0.0 	0.0 	0.0 	8.6 	0.0 	0.0 	26.2 
    	agosto    	SENAMHI	0.2 	0.0 	0.0 	0.0 	6.2 	0.0 	0.0 	0.0 	6.8 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	13.1	0.0 	5.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	8.1 	0.0 	0.0 	0.0 	39.8 
    	septiembre	SENAMHI	0.0 	6.8 	0.0 	0.0 	4.1 	10.3	4.3 	0.0 	0.0 	0.4 	0.0 	10.4	0.0 	0.0 	0.2 	0.0 	0.0 	20.8	4.4 	0.0 	0.3 	0.0 	0.0 	3.3 	0.0 	0.0 	4.2 	0.0 	11.0	6.1 	    	86.6 
    	octubre   	SENAMHI	0.0 	7.7 	10.4	17.1	0.3 	0.0 	0.5 	13.3	0.0 	0.0 	9.4 	0.0 	0.0 	10.2	17.6	4.4 	0.0 	0.0 	9.2 	0.0 	14.0	12.3	5.7 	9.2 	0.0 	0.0 	0.0 	0.3 	0.0 	0.0 	0.0 	141.6
    	noviembre 	SENAMHI	0.0 	0.0 	0.0 	0.0 	7.2 	0.0 	0.0 	0.0 	0.0 	0.0 	10.1	0.0 	0.0 	0.0 	0.0 	0.0 	12.4	19.6	23.8	17.9	0.3 	0.0 	0.0 	0.0 	0.0 	5.7 	9.7 	14.2	7.8 	0.3 	    	129.0
    	diciembre 	SENAMHI	0.2 	0.0 	0.0 	0.0 	17.0	9.7 	6.5 	7.4 	10.2	5.1 	0.3 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	9.0 	11.5	4.2 	5.3 	0.2 	0.0 	0.0 	0.0 	14.8	0.0 	0.3 	0.0 	0.0 	101.9
1968	enero     	SENAMHI	0.0 	8.2 	10.7	6.2 	0.0 	0.0 	12.8	6.2 	0.0 	0.0 	0.3 	7.9 	9.5 	14.5	0.0 	0.2 	0.0 	11.9	8.2 	0.0 	0.4 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	7.0 	10.4	0.0 	114.6
    	febrero   	SENAMHI	11.1	9.8 	6.2 	17.8	0.0 	0.3 	6.0 	0.0 	4.2 	0.4 	6.3 	10.2	0.0 	14.8	9.7 	0.0 	0.0 	0.0 	7.1 	11.8	0.0 	4.1 	0.0 	0.3 	0.0 	0.0 	0.0 	6.2 	8.0 	    	    	134.3
