Año 	Mes       	Fuente 	1   	2   	3   	4   	5   	6   	7   	8   	9   	10  	11  	12  	13  	14  	15  	16  	17  	18  	19  	20  	21  	22  	23  	24  	25  	26  	27  	28  	29  	30  	31  	Total
    	junio     	SENAMHI	0.0 	0.0 	0.0 	2.4 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.6 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	    	4.0  
    	julio     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.4 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.6 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4.0  
    	agosto    	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4.3 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4.7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5.4 	0.0 	14.4 
    	septiembre	SENAMHI	2.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.6 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	7.8 	1.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.1 	0.0 	0.0 	0.0 	0.0 	1.6 	    	14.5 
    	octubre   	SENAMHI	0.0 	0.0 	0.0 	3.6 	3.9 	0.0 	0.0 	0.0 	0.0 	2.8 	3.4 	1.9 	4.6 	6.4 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	26.6 
    	noviembre 	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	2.4 	8.7 	10.5	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	    	21.6 
    	diciembre 	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4.8 	4.3 	0.0 	0.0 	1.3 	0.0 	9.1 	0.0 	0.0 	0.0 	0.0 	0.0 	9.4 	14.3	6.2 	8.2 	8.4 	4.2 	70.2 
1966	enero     	SENAMHI	14.8	4.1 	10.2	0.0 	0.0 	0.0 	0.0 	1.3 	0.0 	0.0 	0.0 	4.6 	5.9 	0.0 	0.0 	0.0 	12.9	0.0 	0.0 	0.0 	0.0 	5.8 	2.4 	5.3 	0.0 	0.0 	8.2 	10.5	4.6 	11.2	0.0 	101.8
    	febrero   	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4.6 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5.1 	0.0 	0.0 	0.0 	2.3 	0.0 	0.0 	8.0 	0.0 	0.0 	8.2 	6.9 	4.6 	17.2	25.0	    	    	    	81.9 
    	marzo     	SENAMHI	2.9 	8.5 	21.6	12.6	18.7	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	8.5 	14.4	5.8 	3.0 	0.0 	0.0 	0.0 	0.0 	2.1 	0.0 	3.5 	0.0 	0.0 	101.6
